,id,make,model,year,trim,mileage,price,monthly_payment,status,link
45,2618359,Alfa,Romeo,2018,base,"40,342 miles","$27,990",$542/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2618359
46,2621199,Alfa,Romeo,2018,Ti,"42,616 miles","$27,590",$534/mo,None,www.carvana.com/vehicle/2621199
47,2457505,Alfa,Romeo,2019,base,"28,654 miles","$30,590",$589/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2457505
48,2587447,Alfa,Romeo,2018,Ti,"31,430 miles","$30,590",$589/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2587447
49,2572873,Alfa,Romeo,2017,base,"42,558 miles","$25,990",$505/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2572873
50,2561573,Alfa,Romeo,2019,Sport,"35,230 miles","$29,590",$571/mo,None,www.carvana.com/vehicle/2561573
51,2607068,Alfa,Romeo,2019,base,"38,568 miles","$28,590",$553/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2607068
52,2554119,Alfa,Romeo,2017,base,"40,114 miles","$24,990",$486/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2554119
53,2609556,Alfa,Romeo,2018,Ti,"33,874 miles","$29,990",$578/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2609556
54,2496526,Alfa,Romeo,2019,Ti Sport,"17,983 miles","$34,990",$670/mo,None,www.carvana.com/vehicle/2496526
55,2618337,Alfa,Romeo,2018,base,"51,659 miles","$26,990",$524/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2618337
56,2573039,Alfa,Romeo,2019,Ti,"23,223 miles","$32,990",$633/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2573039
57,2568397,Alfa,Romeo,2018,base,"39,277 miles","$25,990",$515/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2568397
58,2537454,Alfa,Romeo,2017,Quadrifoglio,"46,275 miles","$46,590",$815/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2537454
59,2405190,Alfa,Romeo,2019,Ti Sport,"29,934 miles","$31,590",$604/mo,None,www.carvana.com/vehicle/2405190
60,2621449,Alfa,Romeo,2019,Ti,"34,281 miles","$28,990",$556/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2621449
61,2585440,Alfa,Romeo,2020,Ti,"18,654 miles","$39,590",$751/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2585440
62,2620414,Alfa,Romeo,2018,Ti Sport,"48,441 miles","$28,990",$557/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2620414
63,2521761,Alfa,Romeo,2019,Ti Sport,"13,634 miles","$32,990",$629/mo,None,www.carvana.com/vehicle/2521761
64,2608637,Alfa,Romeo,2019,base,"27,348 miles","$28,990",$556/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2608637
65,2563589,Alfa,Romeo,2018,base,"39,570 miles","$26,990",$534/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2563589
66,2536050,Alfa,Romeo,2019,base,"21,309 miles","$27,990",$537/mo,None,www.carvana.com/vehicle/2536050
67,2435404,Alfa,Romeo,2017,Ti,"57,097 miles","$27,990",$558/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2435404
68,2611209,Alfa,Romeo,2020,base,"21,566 miles","$32,990",$633/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2611209
69,2406988,Alfa,Romeo,2017,Ti,"34,120 miles","$28,990",$576/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2406988
70,2620666,Alfa,Romeo,2018,Sport,"25,344 miles","$30,990",$596/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2620666
71,2573679,Alfa,Romeo,2018,Sport,"44,553 miles","$27,590",$535/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2573679
72,2530427,Alfa,Romeo,2017,base,"53,598 miles","$25,990",$520/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2530427
73,2468715,Alfa,Romeo,2017,Ti,"47,784 miles","$27,590",$550/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2468715
74,2600881,Alfa,Romeo,2018,Sport,"36,277 miles","$28,990",$560/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2600881
75,2270635,Alfa,Romeo,2018,base,"33,124 miles","$28,590",$552/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2270635
76,2414445,Alfa,Romeo,2018,base,"30,084 miles","$28,990",$559/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2414445
77,2527442,Alfa,Romeo,2018,base,"31,799 miles","$26,590",$515/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2527442
78,2562773,Alfa,Romeo,2021,Ti,"5,353 miles","$37,590",$717/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2562773
79,2604207,Alfa,Romeo,2018,Sport,"40,829 miles","$28,590",$553/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2604207
80,2552172,Alfa,Romeo,2019,Sport,"30,611 miles","$28,590",$552/mo,None,www.carvana.com/vehicle/2552172
81,2555449,Alfa,Romeo,2018,base,"37,701 miles","$26,590",$515/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2555449
82,2595007,Alfa,Romeo,2018,Sport,"43,568 miles","$28,990",$561/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2595007
83,2608508,Alfa,Romeo,2018,base,"26,448 miles","$27,990",$541/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2608508
84,2610590,Alfa,Romeo,2019,Sport,"6,913 miles","$32,590",$624/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2610590
85,2585451,Alfa,Romeo,2018,Ti,"38,394 miles","$29,590",$571/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2585451
86,2556876,Alfa,Romeo,2020,Ti,"21,775 miles","$37,590",$718/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2556876
87,2594533,Alfa,Romeo,2018,Sport,"78,324 miles","$25,590",$514/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2594533
88,2600344,Alfa,Romeo,2018,base,"64,064 miles","$25,990",$520/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2600344
89,2599540,Alfa,Romeo,2018,Ti,"40,074 miles","$27,990",$542/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2599540
90,2459585,Alfa,Romeo,2020,base,"22,621 miles","$31,990",$615/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2459585
91,2566906,Alfa,Romeo,2019,Ti Sport,"27,246 miles","$32,590",$626/mo,None,www.carvana.com/vehicle/2566906
92,2075666,Alfa,Romeo,2017,base,"45,200 miles","$23,590",$460/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2075666
93,2611432,Alfa,Romeo,2019,base,"47,380 miles","$29,990",$583/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2611432
94,2228649,Alfa,Romeo,2018,Ti,"33,120 miles","$29,590",$575/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2228649
95,2625365,Alfa,Romeo,2020,Sport,"22,925 miles","$29,990",$574/mo,None,www.carvana.com/vehicle/2625365
96,2464385,Alfa,Romeo,2017,base,"49,006 miles","$24,590",$475/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2464385
97,2537311,Alfa,Romeo,2018,Sport,"50,206 miles","$28,590",$563/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2537311
98,2609223,Alfa,Romeo,2022,Ti Veloce,"8,192 miles","$46,590",$814/mo,None,www.carvana.com/vehicle/2609223
99,2596949,Alfa,Romeo,2019,Ti,"45,610 miles","$28,590",$553/mo,None,www.carvana.com/vehicle/2596949
100,2460888,Alfa,Romeo,2017,base,"49,981 miles","$25,990",$519/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2460888
101,2421438,Alfa,Romeo,2017,base,"32,479 miles","$26,590",$515/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2421438
102,2058758,Alfa,Romeo,2015,base,"46,027 miles","$48,990",$860/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2058758
103,2411555,Alfa,Romeo,2018,Ti Sport,"19,225 miles","$33,990",$661/mo,None,www.carvana.com/vehicle/2411555
104,2588291,Alfa,Romeo,2018,Ti,"22,409 miles","$29,990",$587/mo,['Get it by Jan 11th'],www.carvana.com/vehicle/2588291
105,2599853,Alfa,Romeo,2019,Ti Sport,"16,323 miles","$31,990",$623/mo,None,www.carvana.com/vehicle/2599853
106,2626705,Alfa,Romeo,2017,Ti,"10,971 miles","$28,590",$560/mo,['Get it by Jan 11th'],www.carvana.com/vehicle/2626705
107,2614433,Alfa,Romeo,2020,Ti,"26,850 miles","$35,590",$691/mo,['Get it by Jan 11th'],www.carvana.com/vehicle/2614433
108,2555116,Alfa,Romeo,2020,base,"6,375 miles","$36,590",$695/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2555116
109,2605585,Alfa,Romeo,2019,base,"33,156 miles","$31,590",$608/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2605585
110,2429280,Alfa,Romeo,2017,base,"52,774 miles","$24,990",$510/mo,['Get it by Jan 11th'],www.carvana.com/vehicle/2429280
111,2407606,Alfa,Romeo,2017,base,"40,681 miles","$23,990",$477/mo,['Get it by Jan 11th'],www.carvana.com/vehicle/2407606
112,2605553,Alfa,Romeo,2018,Ti,"57,910 miles","$27,590",$545/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2605553
113,2563293,Alfa,Romeo,2019,Ti,"16,799 miles","$30,990",$605/mo,None,www.carvana.com/vehicle/2563293
114,2601831,Alfa,Romeo,2017,Ti,"51,668 miles","$25,990",$502/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2601831
115,2570663,Alfa,Romeo,2018,Ti Sport,"33,454 miles","$31,990",$619/mo,None,www.carvana.com/vehicle/2570663
116,2614972,Alfa,Romeo,2017,base,"54,170 miles","$23,990",$450/mo,None,www.carvana.com/vehicle/2614972
