,make,model,year,trim,mileage,price,monthly_payment,status,link
53,Kia,Rio,2013,LX,"82,097 miles","$12,990",['$313/mo'],None,www.carvana.com/vehicle/2416082
54,Kia,Soul,2016,base,"38,624 miles","$17,590",['$351/mo'],None,www.carvana.com/vehicle/2416084
55,Kia,Sorento,2016,LX,"76,645 miles","$19,990",['$398/mo'],None,www.carvana.com/vehicle/2390372
56,Kia,Forte,2014,EX,"33,918 miles","$18,990",['$382/mo'],None,www.carvana.com/vehicle/2416326
57,Dodge,Charger,2015,SXT,"52,536 miles","$23,990",['$471/mo'],None,www.carvana.com/vehicle/2412442
58,Kia,Soul,2011,!,"81,832 miles","$13,990",['$302/mo'],None,www.carvana.com/vehicle/2389102
59,Kia,Sorento,2012,LX,"94,852 miles","$15,990",['$343/mo'],None,www.carvana.com/vehicle/2275853
60,Dodge,Grand,2017,SXT,"91,844 miles","$18,590",['$385/mo'],None,www.carvana.com/vehicle/2351484
61,Kia,Soul,2016,base,"59,457 miles","$16,590",['$333/mo'],None,www.carvana.com/vehicle/2481510
62,Kia,Forte,2019,S,"52,657 miles","$20,990",['$415/mo'],None,www.carvana.com/vehicle/2237798
63,Kia,Soul,2015,base,"49,818 miles","$16,590",['$332/mo'],None,www.carvana.com/vehicle/2391553
64,Dodge,Challenger,2014,SXT,"45,784 miles","$23,990",['$471/mo'],None,www.carvana.com/vehicle/2391414
65,Dodge,Grand,2018,SXT,"106,123 miles","$18,590",['$391/mo'],None,www.carvana.com/vehicle/2419833
66,Kia,Soul,2014,base,"72,992 miles","$14,990",['$308/mo'],None,www.carvana.com/vehicle/2395886
67,Dodge,Charger,2014,SE,"88,823 miles","$16,990",['$363/mo'],None,www.carvana.com/vehicle/2432019
68,Dodge,Grand,2014,AVP,"44,037 miles","$18,990",['$377/mo'],None,www.carvana.com/vehicle/2429197
69,Kia,Soul,2012,+,"81,826 miles","$14,990",['$331/mo'],None,www.carvana.com/vehicle/2427527
70,Kia,Optima,2017,LX,"69,200 miles","$17,990",['$360/mo'],None,www.carvana.com/vehicle/2474077
71,Kia,Forte5,2016,LX,"76,957 miles","$16,590",['$343/mo'],None,www.carvana.com/vehicle/2433997
72,Kia,Sorento,2014,LX,"47,034 miles","$19,590",['$394/mo'],None,www.carvana.com/vehicle/2479229
73,Kia,Forte,2015,LX,"71,383 miles","$14,990",['$308/mo'],None,www.carvana.com/vehicle/2436074
74,Dodge,Challenger,2016,SXT,"95,915 miles","$22,590",['$469/mo'],None,www.carvana.com/vehicle/2416551
75,Kia,Optima,2015,LX,"64,499 miles","$16,590",['$333/mo'],None,www.carvana.com/vehicle/2409580
76,Dodge,Journey,2015,R/T,"30,113 miles","$21,590",['$425/mo'],None,www.carvana.com/vehicle/2412184
77,Dodge,Grand,2018,GT,"89,817 miles","$20,990",['$437/mo'],None,www.carvana.com/vehicle/2393119
78,Kia,Sorento,2017,LX,"55,465 miles","$21,990",['$434/mo'],None,www.carvana.com/vehicle/2465280
79,Kia,Forte,2015,LX,"77,020 miles","$14,990",['$312/mo'],None,www.carvana.com/vehicle/2458217
80,Kia,Forte,2019,LXS,"25,853 miles","$21,990",['$432/mo'],None,www.carvana.com/vehicle/2461313
81,Kia,Optima,2011,EX,"62,248 miles","$15,590",['$323/mo'],None,www.carvana.com/vehicle/2395289
82,Dodge,Grand,2017,SXT,"61,978 miles","$20,590",['$408/mo'],None,www.carvana.com/vehicle/2408419
83,Dodge,Journey,2018,SE,"64,432 miles","$19,590",['$389/mo'],None,www.carvana.com/vehicle/2161485
84,Dodge,Avenger,2014,SE,"100,986 miles","$13,590",['$303/mo'],None,www.carvana.com/vehicle/2402728
85,Kia,Forte,2017,LX,"26,602 miles","$17,990",['$343/mo'],None,www.carvana.com/vehicle/2411125
86,Dodge,Journey,2017,SE,"64,564 miles","$18,590",['$381/mo'],None,www.carvana.com/vehicle/2391307
87,Dodge,Charger,2016,SXT,"37,059 miles","$27,990",['$527/mo'],['Free Shipping'],www.carvana.com/vehicle/2397298
88,Dodge,Challenger,2018,R/T,"44,761 miles","$32,590",['$614/mo'],['Free Shipping'],www.carvana.com/vehicle/2399280
89,Kia,Forte,2021,LXS,"14,257 miles","$23,990",['$469/mo'],None,www.carvana.com/vehicle/2464412
90,Dodge,Grand,2018,SXT,"105,355 miles","$18,990",['$398/mo'],None,www.carvana.com/vehicle/2442935
91,Kia,Carnival,2022,SX Prestige,"6,063 miles","$60,590",['$1028/mo'],None,www.carvana.com/vehicle/2341497
92,Dodge,Charger,2021,Scat Pack,"9,078 miles","$52,590",['$919/mo'],None,www.carvana.com/vehicle/2409192
93,Dodge,Challenger,2021,GT,"8,747 miles","$35,590",['$689/mo'],None,www.carvana.com/vehicle/2411395
94,Dodge,Charger,2018,GT,"63,291 miles","$28,590",['$562/mo'],None,www.carvana.com/vehicle/2396395
95,Dodge,Challenger,2017,R/T Scat Pack,"19,522 miles","$40,590",['$731/mo'],None,www.carvana.com/vehicle/2402347
96,Dodge,Challenger,2018,GT,"20,615 miles","$32,590",['$634/mo'],None,www.carvana.com/vehicle/2410340
97,Kia,Forte,2020,LXS,"42,894 miles","$21,990",['$430/mo'],None,www.carvana.com/vehicle/2411031
98,Kia,Optima,2018,S,"43,044 miles","$21,990",['$443/mo'],None,www.carvana.com/vehicle/2213786
99,Kia,Forte,2017,LX,"86,624 miles","$14,990",['$324/mo'],None,www.carvana.com/vehicle/2414156
100,Kia,Stinger,2022,GT-Line,"4,624 miles","$45,990",['$812/mo'],None,www.carvana.com/vehicle/2451484
101,Kia,Telluride,2022,EX,"10,204 miles","$52,990",['$926/mo'],None,www.carvana.com/vehicle/2484383
102,Kia,Telluride,2020,EX,"33,407 miles","$41,590",['$751/mo'],None,www.carvana.com/vehicle/2348727
103,Kia,Soul,2015,base,"89,904 miles","$13,990",['$309/mo'],None,www.carvana.com/vehicle/2416444
104,Kia,Sorento,2016,EX,"104,726 miles","$18,590",['$395/mo'],None,www.carvana.com/vehicle/2273247
105,Kia,Optima,2015,EX,"58,446 miles","$18,990",['$393/mo'],None,www.carvana.com/vehicle/2424897
106,Kia,Rio,2018,S,"76,611 miles","$15,990",['$332/mo'],None,www.carvana.com/vehicle/2424708
107,Kia,Optima,2016,LX,"46,354 miles","$19,590",['$398/mo'],None,www.carvana.com/vehicle/2326233
108,Dodge,Dart,2014,SE,"55,824 miles","$14,590",['$313/mo'],None,www.carvana.com/vehicle/2279993
109,Kia,Forte5,2016,LX,"59,380 miles","$15,590",['$323/mo'],None,www.carvana.com/vehicle/2365059
110,Kia,Soul,2014,base,"23,655 miles","$17,590",['$359/mo'],None,www.carvana.com/vehicle/2293438
111,Dodge,Journey,2016,SXT,"89,679 miles","$16,990",['$358/mo'],None,www.carvana.com/vehicle/2305372
112,Dodge,Grand,2016,SXT,"104,642 miles","$15,990",['$349/mo'],None,www.carvana.com/vehicle/2417690
113,Kia,Forte,2017,LX,"56,033 miles","$15,990",['$321/mo'],None,www.carvana.com/vehicle/2192875
114,Kia,Sportage,2012,EX,"75,283 miles","$16,990",['$346/mo'],None,www.carvana.com/vehicle/2399242
115,Dodge,Journey,2014,SE,"78,712 miles","$15,590",['$320/mo'],None,www.carvana.com/vehicle/2318240
116,Kia,Optima,2012,LX,"76,577 miles","$14,990",['$304/mo'],None,www.carvana.com/vehicle/2423814
117,Kia,Soul,2012,!,"86,740 miles","$14,990",['$333/mo'],None,www.carvana.com/vehicle/2392060
118,Dodge,Durango,2015,SXT,"51,436 miles","$28,590",['$558/mo'],None,www.carvana.com/vehicle/2445054
119,Kia,Soul,2022,LX,"4,639 miles","$26,590",['$517/mo'],None,www.carvana.com/vehicle/2421978
120,Dodge,Charger,2020,GT,"22,673 miles","$35,590",['$686/mo'],None,www.carvana.com/vehicle/2431694
121,Kia,Forte,2022,FE,"5,911 miles","$26,990",['$524/mo'],None,www.carvana.com/vehicle/2431665
122,Kia,Telluride,2022,SX,"11,200 miles","$58,990",['$1035/mo'],None,www.carvana.com/vehicle/2360481
123,Kia,Optima,2020,S,"19,977 miles","$26,590",['$518/mo'],None,www.carvana.com/vehicle/2441241
124,Kia,K5,2021,GT-Line,"13,316 miles","$34,990",['$674/mo'],None,www.carvana.com/vehicle/2427060
125,Kia,Sedona,2017,EX,"45,762 miles","$27,990",['$546/mo'],None,www.carvana.com/vehicle/2427150
126,Kia,Sportage,2022,LX,"12,052 miles","$29,990",['$581/mo'],None,www.carvana.com/vehicle/2465508
127,Kia,Telluride,2022,LX,"8,467 miles","$43,990",['$789/mo'],None,www.carvana.com/vehicle/2404769
128,Dodge,Charger,2021,Scat Pack,"6,373 miles","$50,990",['$885/mo'],None,www.carvana.com/vehicle/2406968
129,Dodge,Journey,2016,SXT,"51,836 miles","$17,990",['$364/mo'],None,www.carvana.com/vehicle/2356564
130,Kia,Soul,2018,base,"54,657 miles","$17,590",['$351/mo'],None,www.carvana.com/vehicle/2325394
131,Dodge,Journey,2018,SE,"66,649 miles","$19,990",['$397/mo'],None,www.carvana.com/vehicle/2117761
132,Kia,Optima,2020,LX,"6,188 miles","$25,990",['$506/mo'],None,www.carvana.com/vehicle/2449632
133,Kia,Soul,2016,base,"41,269 miles","$16,590",['$332/mo'],None,www.carvana.com/vehicle/2389970
134,Dodge,Challenger,2018,SXT,"70,013 miles","$25,590",['$499/mo'],None,www.carvana.com/vehicle/2410454
135,Kia,Sorento,2020,EX,"20,743 miles","$36,590",['$695/mo'],None,www.carvana.com/vehicle/2320274
136,Kia,Seltos,2021,SX,"13,876 miles","$32,990",['$628/mo'],None,www.carvana.com/vehicle/2430944
137,Kia,Sorento,2016,LX,"73,534 miles","$19,590",['$395/mo'],None,www.carvana.com/vehicle/2413781
138,Kia,Carnival,2022,LX w/Seat Pkg,"15,328 miles","$44,590",['$805/mo'],None,www.carvana.com/vehicle/2430429
139,Kia,Carnival,2022,SX Prestige,"13,028 miles","$59,590",['$1050/mo'],None,www.carvana.com/vehicle/2455482
140,Dodge,Charger,2021,SXT,"21,226 miles","$32,590",['$634/mo'],None,www.carvana.com/vehicle/2447858
141,Dodge,Challenger,2015,SXT Plus,"44,399 miles","$26,990",['$531/mo'],None,www.carvana.com/vehicle/2465015
142,Dodge,Charger,2017,Daytona 392,"24,229 miles","$45,990",['$815/mo'],None,www.carvana.com/vehicle/2084663
143,Dodge,Challenger,2021,R/T Scat Pack,"8,636 miles","$47,590",['$843/mo'],None,www.carvana.com/vehicle/2427534
144,Kia,Carnival,2022,SX Prestige,"10,059 miles","$57,990",['$1019/mo'],None,www.carvana.com/vehicle/2411638
145,Dodge,Charger,2019,Scat Pack,"46,373 miles","$42,990",['$778/mo'],None,www.carvana.com/vehicle/2460946
146,Dodge,Challenger,2018,SXT Plus,"35,312 miles","$29,590",['$579/mo'],None,www.carvana.com/vehicle/2443377
147,Dodge,Challenger,2018,SXT Plus,"35,312 miles","$29,590",['$579/mo'],None,www.carvana.com/vehicle/2443377
148,Kia,EV6,2022,Wind,"5,657 miles","$64,990",['$1137/mo'],None,www.carvana.com/vehicle/2481498
149,Kia,K5,2021,GT-Line,"20,946 miles","$32,990",['$647/mo'],None,www.carvana.com/vehicle/2421924
150,Dodge,Challenger,2016,R/T Scat Pack,"19,145 miles","$39,590",['$770/mo'],None,www.carvana.com/vehicle/2364009
151,Dodge,Challenger,2016,SXT,"17,528 miles","$28,990",['$572/mo'],None,www.carvana.com/vehicle/2447615
152,Kia,Telluride,2022,EX,"9,812 miles","$52,990",['$919/mo'],None,www.carvana.com/vehicle/2344009
153,Dodge,Challenger,2016,SXT Plus,"39,400 miles","$27,590",['$534/mo'],None,www.carvana.com/vehicle/2304779
154,Kia,Telluride,2022,LX,"5,403 miles","$46,990",['$824/mo'],None,www.carvana.com/vehicle/2391328
155,Kia,Seltos,2021,SX,"34,886 miles","$29,990",['$592/mo'],None,www.carvana.com/vehicle/2412149
156,Dodge,Durango,2018,R/T,"91,248 miles","$36,590",['$745/mo'],None,www.carvana.com/vehicle/2390529
157,Dodge,Charger,2019,Scat Pack,"41,365 miles","$42,990",['$774/mo'],None,www.carvana.com/vehicle/2449638
158,Dodge,Challenger,2016,SXT Plus,"37,368 miles","$28,990",['$564/mo'],None,www.carvana.com/vehicle/2400617
159,Kia,Telluride,2021,EX,"12,885 miles","$47,590",['$839/mo'],None,www.carvana.com/vehicle/2407571
160,Dodge,Challenger,2019,R/T,"14,231 miles","$37,590",['$732/mo'],None,www.carvana.com/vehicle/2444826
161,Dodge,Charger,2020,Scat Pack,"20,753 miles","$47,590",['$850/mo'],None,www.carvana.com/vehicle/2411940
162,Dodge,Challenger,2021,GT,"3,548 miles","$37,590",['$731/mo'],None,www.carvana.com/vehicle/2451565
163,Dodge,Charger,2019,SXT,"25,007 miles","$31,990",['$628/mo'],None,www.carvana.com/vehicle/2444503
164,Dodge,Challenger,2020,R/T,"7,195 miles","$40,590",['$735/mo'],None,www.carvana.com/vehicle/2451216
165,Dodge,Challenger,2016,R/T Scat Pack,"5,831 miles","$40,590",['$735/mo'],None,www.carvana.com/vehicle/2397760
166,Dodge,Challenger,2018,R/T Plus,"18,386 miles","$37,990",['$740/mo'],None,www.carvana.com/vehicle/2459723
167,Kia,Carnival,2022,LX w/Seat Pkg,"19,976 miles","$43,590",['$792/mo'],None,www.carvana.com/vehicle/2399415
168,Dodge,Charger,2015,SXT,"26,805 miles","$26,990",['$535/mo'],None,www.carvana.com/vehicle/2413745
169,Dodge,Grand,2018,SXT,"51,451 miles","$21,990",['$434/mo'],None,www.carvana.com/vehicle/2409715
