,make,model,year,trim,mileage,price,monthly_payment,status,link
471,Kia,Soul,2016,+,"104,172 miles","$15,990",['$335/mo'],None,www.carvana.com/vehicle/2485866
472,Kia,Cadenza,2015,Premium,"34,051 miles","$22,990",['$454/mo'],None,www.carvana.com/vehicle/2485869
473,Kia,Forte,2015,LX,"65,656 miles","$15,590",['$319/mo'],None,www.carvana.com/vehicle/2489047
474,Kia,Soul,2018,+,"65,327 miles","$17,990",['$356/mo'],None,www.carvana.com/vehicle/2485815
475,Kia,Soul,2015,+,"76,599 miles","$15,990",['$317/mo'],None,www.carvana.com/vehicle/2485779
476,Kia,Sportage,2017,LX,"61,215 miles","$19,990",['$397/mo'],None,www.carvana.com/vehicle/2358942
477,Kia,Sorento,2016,LX,"65,604 miles","$19,990",['$397/mo'],None,www.carvana.com/vehicle/2488996
478,Kia,Soul,2016,base,"60,015 miles","$16,990",['$337/mo'],None,www.carvana.com/vehicle/2489209
479,Kia,Sorento,2013,EX,"26,485 miles","$20,590",['$406/mo'],None,www.carvana.com/vehicle/2485995
480,Kia,Rio,2014,LX,"19,295 miles","$16,590",['$346/mo'],None,www.carvana.com/vehicle/2459047
481,Dodge,Journey,2019,SE w/Value Pkg,"43,430 miles","$22,990",['$437/mo'],None,www.carvana.com/vehicle/2489177
482,Kia,Sedona,2016,LX,"99,624 miles","$17,990",['$378/mo'],None,www.carvana.com/vehicle/2332199
483,Dodge,Charger,2015,SXT,"66,292 miles","$23,990",['$483/mo'],None,www.carvana.com/vehicle/2485912
484,Dodge,Journey,2019,SE,"30,316 miles","$23,590",['$459/mo'],None,www.carvana.com/vehicle/2489136
485,Kia,Cadenza,2017,Premium,"76,467 miles","$23,590",['$465/mo'],None,www.carvana.com/vehicle/2451881
486,Kia,Sedona,2017,LX,"97,742 miles","$19,990",['$418/mo'],None,www.carvana.com/vehicle/2459377
487,Kia,Forte,2014,LX,"61,330 miles","$14,590",['$308/mo'],None,www.carvana.com/vehicle/2452075
488,Kia,Optima,2012,LX,"92,529 miles","$14,590",['$307/mo'],None,www.carvana.com/vehicle/2452019
489,Dodge,Grand,2015,SE,"61,706 miles","$19,990",['$402/mo'],None,www.carvana.com/vehicle/2420028
490,Kia,Sorento,2015,LX,"75,899 miles","$19,990",['$398/mo'],None,www.carvana.com/vehicle/2429527
491,Kia,Sorento,2015,LX,"55,137 miles","$20,590",['$408/mo'],None,www.carvana.com/vehicle/2325345
492,Kia,Sportage,2011,SX,"84,479 miles","$17,590",['$371/mo'],None,www.carvana.com/vehicle/2358304
493,Kia,Sportage,2014,LX,"83,941 miles","$16,990",['$358/mo'],None,www.carvana.com/vehicle/2419146
494,Dodge,Grand,2012,SE,"49,102 miles","$16,990",['$385/mo'],None,www.carvana.com/vehicle/2465721
495,Kia,Cadenza,2015,Premium,"74,870 miles","$18,990",['$384/mo'],None,www.carvana.com/vehicle/2459431
496,Kia,Forte,2013,EX,"42,001 miles","$14,590",['$299/mo'],None,www.carvana.com/vehicle/2465732
497,Dodge,Journey,2017,SE,"58,849 miles","$18,990",['$385/mo'],None,www.carvana.com/vehicle/2485305
498,Dodge,Grand,2014,SE,"95,649 miles","$16,590",['$350/mo'],None,www.carvana.com/vehicle/2365824
499,Kia,Optima,2014,LX,"79,778 miles","$16,990",['$342/mo'],None,www.carvana.com/vehicle/2331555
500,Kia,Sportage,2014,LX,"85,915 miles","$16,990",['$359/mo'],None,www.carvana.com/vehicle/2365775
501,Kia,Rio,2013,LX,"94,006 miles","$12,590",['$300/mo'],None,www.carvana.com/vehicle/2465694
502,Kia,Forte,2022,GT,"5,181 miles","$30,590",['$573/mo'],None,www.carvana.com/vehicle/2452273
503,Kia,Sorento,2021,LX,"48,168 miles","$31,990",['$603/mo'],None,www.carvana.com/vehicle/2458596
504,Kia,Optima,2015,LX,"90,897 miles","$16,590",['$350/mo'],None,www.carvana.com/vehicle/2432662
505,Kia,Sportage,2017,LX,"68,047 miles","$18,990",['$378/mo'],None,www.carvana.com/vehicle/2464791
506,Dodge,Challenger,2016,SXT,"72,659 miles","$22,990",['$450/mo'],None,www.carvana.com/vehicle/2472140
507,Kia,Forte,2021,LXS,"20,367 miles","$23,990",['$469/mo'],None,www.carvana.com/vehicle/2432833
508,Kia,Sorento,2021,LX,"41,918 miles","$30,990",['$583/mo'],None,www.carvana.com/vehicle/2491678
509,Kia,Soul,2013,base,"60,092 miles","$14,990",['$320/mo'],None,www.carvana.com/vehicle/2464955
510,Kia,Soul,2014,+,"80,106 miles","$15,990",['$342/mo'],None,www.carvana.com/vehicle/2465148
511,Dodge,Journey,2017,SXT,"70,047 miles","$18,990",['$384/mo'],None,www.carvana.com/vehicle/2363977
512,Dodge,Grand,2014,SXT,"70,359 miles","$18,590",['$372/mo'],None,www.carvana.com/vehicle/2428887
513,Dodge,Dart,2016,SE,"92,527 miles","$14,990",['$323/mo'],None,www.carvana.com/vehicle/2395681
514,Kia,Forte5,2018,LX,"85,600 miles","$16,990",['$358/mo'],None,www.carvana.com/vehicle/2462030
515,Dodge,Grand,2014,SE,"40,304 miles","$20,990",['$426/mo'],None,www.carvana.com/vehicle/2462028
516,Dodge,Challenger,2018,SXT,"84,714 miles","$24,990",['$505/mo'],None,www.carvana.com/vehicle/2293118
517,Kia,Sorento,2016,LX,"90,852 miles","$18,990",['$392/mo'],None,www.carvana.com/vehicle/2461180
518,Kia,Sorento,2016,LX,"91,413 miles","$17,990",['$374/mo'],None,www.carvana.com/vehicle/2461187
519,Dodge,Dart,2015,GT,"61,070 miles","$17,990",['$374/mo'],None,www.carvana.com/vehicle/2438447
520,Kia,Forte,2019,LXS,"22,336 miles","$21,990",['$432/mo'],None,www.carvana.com/vehicle/2471633
521,Dodge,Avenger,2014,SE,"50,309 miles","$16,990",['$355/mo'],None,www.carvana.com/vehicle/2461297
522,Kia,Optima,2015,EX,"58,246 miles","$18,590",['$367/mo'],None,www.carvana.com/vehicle/2471617
523,Kia,Forte,2014,EX,"97,112 miles","$13,990",['$303/mo'],None,www.carvana.com/vehicle/2195316
524,Dodge,Charger,2018,SXT Plus,"102,177 miles","$22,990",['$471/mo'],None,www.carvana.com/vehicle/2461255
525,Dodge,Charger,2018,SXT Plus,"102,177 miles","$22,990",['$471/mo'],None,www.carvana.com/vehicle/2461255
526,Dodge,Charger,2016,SXT,"62,570 miles","$23,990",['$481/mo'],None,www.carvana.com/vehicle/2471767
527,Kia,Forte,2014,Koup EX,"72,727 miles","$16,990",['$347/mo'],None,www.carvana.com/vehicle/2429244
528,Dodge,Dart,2016,SXT,"52,326 miles","$16,990",['$341/mo'],None,www.carvana.com/vehicle/2402562
529,Dodge,Charger,2018,R/T,"79,303 miles","$29,990",['$568/mo'],None,www.carvana.com/vehicle/2431409
530,Kia,Optima,2018,LX,"38,608 miles","$21,590",['$422/mo'],None,www.carvana.com/vehicle/2470923
531,Dodge,Grand,2017,SXT,"101,888 miles","$17,590",['$374/mo'],None,www.carvana.com/vehicle/2461572
532,Dodge,Journey,2018,GT,"71,526 miles","$20,990",['$420/mo'],None,www.carvana.com/vehicle/2467850
533,Dodge,Dart,2015,SE,"42,611 miles","$15,990",['$325/mo'],None,www.carvana.com/vehicle/2437806
534,Kia,Forte,2017,LX,"88,629 miles","$16,590",['$350/mo'],None,www.carvana.com/vehicle/2428513
535,Dodge,Dart,2016,SE,"87,279 miles","$14,590",['$315/mo'],None,www.carvana.com/vehicle/2467775
536,Dodge,Durango,2015,SXT,"93,836 miles","$22,590",['$459/mo'],None,www.carvana.com/vehicle/2437980
537,Dodge,Journey,2018,GT,"96,813 miles","$18,990",['$389/mo'],None,www.carvana.com/vehicle/2428461
538,Kia,Soul,2016,base,"20,873 miles","$19,590",['$387/mo'],None,www.carvana.com/vehicle/2471126
539,Dodge,Durango,2012,Crew,"96,159 miles","$18,990",['$377/mo'],None,www.carvana.com/vehicle/2437923
540,Kia,Sorento,2012,SX,"104,679 miles","$16,990",['$360/mo'],None,www.carvana.com/vehicle/2428600
541,Kia,Soul,2021,LX,"27,720 miles","$22,990",['$451/mo'],None,www.carvana.com/vehicle/2366960
542,Dodge,Grand,2009,SE,"103,322 miles","$12,590",['$301/mo'],None,www.carvana.com/vehicle/2460797
543,Kia,Rio,2016,LX,"78,702 miles","$14,990",['$298/mo'],None,www.carvana.com/vehicle/2227824
544,Dodge,Grand,2016,AVP,"85,421 miles","$16,990",['$354/mo'],None,www.carvana.com/vehicle/2468091
545,Dodge,Grand,2010,SXT,"69,626 miles","$15,990",['$369/mo'],None,www.carvana.com/vehicle/2405078
546,Dodge,Journey,2016,SXT,"98,675 miles","$16,990",['$367/mo'],None,www.carvana.com/vehicle/2366923
547,Kia,Forte,2017,LX,"99,637 miles","$15,990",['$335/mo'],None,www.carvana.com/vehicle/2460729
548,Dodge,Journey,2017,Crossroad,"76,236 miles","$18,990",['$380/mo'],None,www.carvana.com/vehicle/2468012
549,Kia,Forte,2018,LX,"34,509 miles","$18,990",['$367/mo'],None,www.carvana.com/vehicle/2468009
550,Dodge,Grand,2017,GT,"77,786 miles","$19,990",['$403/mo'],None,www.carvana.com/vehicle/2468209
551,Dodge,Grand,2018,SE,"88,796 miles","$19,990",['$408/mo'],None,www.carvana.com/vehicle/2405139
552,Kia,Forte,2017,LX,"22,098 miles","$18,990",['$367/mo'],None,www.carvana.com/vehicle/1816376
553,Kia,Optima,2015,EX,"95,463 miles","$16,990",['$348/mo'],None,www.carvana.com/vehicle/2228085
554,Dodge,Dart,2013,SXT,"100,967 miles","$12,990",['$310/mo'],None,www.carvana.com/vehicle/2461063
555,Dodge,Grand,2019,GT,"72,042 miles","$21,990",['$435/mo'],None,www.carvana.com/vehicle/2461022
556,Kia,Optima,2015,LX,"82,634 miles","$16,590",['$346/mo'],None,www.carvana.com/vehicle/1948951
557,Kia,Sportage,2017,LX,"83,944 miles","$18,990",['$392/mo'],None,www.carvana.com/vehicle/2470509
558,Kia,Sportage,2020,LX,"65,021 miles","$23,590",['$461/mo'],None,www.carvana.com/vehicle/2470460
559,Kia,Sorento,2011,LX,"38,780 miles","$16,990",['$339/mo'],None,www.carvana.com/vehicle/2470454
560,Dodge,Challenger,2013,R/T Plus,"61,535 miles","$24,990",['$491/mo'],None,www.carvana.com/vehicle/2470472
561,Dodge,Dart,2013,Limited,"37,000 miles","$17,990",['$378/mo'],None,www.carvana.com/vehicle/2408585
562,Kia,Sorento,2011,LX,"91,477 miles","$14,990",['$323/mo'],None,www.carvana.com/vehicle/2467461
563,Dodge,Durango,2015,SXT,"87,314 miles","$22,990",['$466/mo'],None,www.carvana.com/vehicle/2467457
564,Kia,Optima,2015,EX,"85,802 miles","$16,990",['$354/mo'],None,www.carvana.com/vehicle/2460107
565,Kia,Soul,2013,base,"58,953 miles","$14,990",['$310/mo'],None,www.carvana.com/vehicle/2470582
566,Dodge,Grand,2016,SE,"30,493 miles","$21,990",['$433/mo'],None,www.carvana.com/vehicle/2460295
567,Kia,Optima,2016,LX,"67,041 miles","$17,990",['$350/mo'],None,www.carvana.com/vehicle/2061695
568,Kia,Soul,2014,base,"51,251 miles","$13,990",['$280/mo'],None,www.carvana.com/vehicle/1876451
569,Kia,Sorento,2014,Limited-SXL,"103,444 miles","$18,590",['$394/mo'],None,www.carvana.com/vehicle/2470773
570,Dodge,Challenger,2016,SXT,"80,004 miles","$22,990",['$460/mo'],None,www.carvana.com/vehicle/2434528
571,Kia,Sorento,2017,LX,"78,467 miles","$20,990",['$413/mo'],None,www.carvana.com/vehicle/2470712
572,Kia,Forte,2012,LX,"102,231 miles","$11,990",['$292/mo'],None,www.carvana.com/vehicle/2467484
573,Dodge,Grand,2018,SXT,"91,045 miles","$21,990",['$457/mo'],None,www.carvana.com/vehicle/2295379
574,Dodge,Charger,2016,SXT,"77,361 miles","$23,590",['$469/mo'],None,www.carvana.com/vehicle/2467615
575,Kia,Optima,2016,EX,"102,322 miles","$16,990",['$359/mo'],None,www.carvana.com/vehicle/2440905
576,Dodge,Dart,2016,SE,"93,596 miles","$14,990",['$319/mo'],None,www.carvana.com/vehicle/2339925
577,Kia,Soul,2013,+,"49,123 miles","$16,990",['$349/mo'],None,www.carvana.com/vehicle/2460440
578,Dodge,Journey,2016,SE,"72,591 miles","$17,990",['$366/mo'],None,www.carvana.com/vehicle/2434784
579,Kia,Sorento,2014,LX,"91,972 miles","$16,590",['$346/mo'],None,www.carvana.com/vehicle/2434744
580,Kia,Sorento,2011,LX,"92,508 miles","$13,990",['$311/mo'],None,www.carvana.com/vehicle/2466932
581,Dodge,Grand,2017,GT,"85,563 miles","$19,590",['$405/mo'],None,www.carvana.com/vehicle/2466908
582,Kia,Sorento,2013,SX,"93,063 miles","$17,990",['$374/mo'],None,www.carvana.com/vehicle/2365948
583,Dodge,Grand,2015,SE Plus,"60,431 miles","$18,990",['$387/mo'],None,www.carvana.com/vehicle/2466840
584,Dodge,Dart,2016,SXT,"66,000 miles","$15,990",['$326/mo'],None,www.carvana.com/vehicle/2434882
585,Kia,Sorento,2016,EX,"68,917 miles","$21,990",['$435/mo'],None,www.carvana.com/vehicle/2381237
586,Dodge,Journey,2019,SE,"43,004 miles","$22,590",['$441/mo'],None,www.carvana.com/vehicle/2474339
587,Dodge,Avenger,2013,SXT,"71,689 miles","$14,990",['$343/mo'],None,www.carvana.com/vehicle/2381394
588,Dodge,Grand,2018,SE,"48,839 miles","$23,990",['$471/mo'],None,www.carvana.com/vehicle/2427672
589,Dodge,Grand,2019,GT,"72,978 miles","$20,990",['$416/mo'],None,www.carvana.com/vehicle/2473471
590,Dodge,Journey,2017,Crossroad Plus,"83,842 miles","$19,990",['$419/mo'],None,www.carvana.com/vehicle/2473546
591,Dodge,Grand,2019,GT,"78,372 miles","$20,990",['$417/mo'],None,www.carvana.com/vehicle/2473539
592,Dodge,Charger,2014,SE,"86,483 miles","$16,990",['$358/mo'],None,www.carvana.com/vehicle/2466413
593,Dodge,Grand,2013,SXT,"103,280 miles","$14,990",['$332/mo'],None,www.carvana.com/vehicle/2233418
594,Dodge,Durango,2013,SXT,"90,400 miles","$18,590",['$380/mo'],None,www.carvana.com/vehicle/2473696
595,Dodge,Grand,2013,R/T,"95,973 miles","$15,990",['$339/mo'],None,www.carvana.com/vehicle/2473633
596,Dodge,Journey,2017,GT,"79,204 miles","$20,590",['$409/mo'],None,www.carvana.com/vehicle/2446942
597,Kia,Sportage,2016,LX,"22,726 miles","$21,990",['$432/mo'],None,www.carvana.com/vehicle/2363166
598,Dodge,Journey,2016,SXT,"90,308 miles","$17,990",['$379/mo'],None,www.carvana.com/vehicle/2404420
599,Dodge,Journey,2017,Crossroad,"37,582 miles","$22,990",['$461/mo'],None,www.carvana.com/vehicle/2480116
600,Kia,Sorento,2014,LX,"99,538 miles","$16,990",['$359/mo'],None,www.carvana.com/vehicle/2414911
601,Kia,Forte5,2017,LX,"42,557 miles","$17,990",['$355/mo'],None,www.carvana.com/vehicle/2480108
602,Dodge,Journey,2013,SE,"82,974 miles","$14,990",['$327/mo'],None,www.carvana.com/vehicle/2480101
603,Kia,Sorento,2016,LX,"80,942 miles","$18,590",['$380/mo'],None,www.carvana.com/vehicle/2480094
604,Kia,Rio,2014,LX,"79,712 miles","$12,990",['$270/mo'],None,www.carvana.com/vehicle/2369630
605,Kia,Sorento,2016,SX,"92,963 miles","$22,990",['$471/mo'],None,www.carvana.com/vehicle/2404579
606,Dodge,Grand,2018,SE Plus,"80,864 miles","$20,990",['$431/mo'],None,www.carvana.com/vehicle/2433447
607,Dodge,Journey,2018,SXT,"51,125 miles","$21,990",['$434/mo'],None,www.carvana.com/vehicle/2480236
608,Dodge,Dart,2015,SXT,"86,300 miles","$14,590",['$315/mo'],None,www.carvana.com/vehicle/2466574
609,Kia,Optima,2016,EX,"94,698 miles","$17,590",['$366/mo'],None,www.carvana.com/vehicle/2469897
610,Dodge,Journey,2016,Crossroad Plus,"81,080 miles","$20,590",['$429/mo'],None,www.carvana.com/vehicle/2274832
611,Dodge,Charger,2012,SXT,"18,429 miles","$21,990",['$442/mo'],None,www.carvana.com/vehicle/2406858
612,Kia,Soul,2016,base,"84,995 miles","$15,990",['$334/mo'],None,www.carvana.com/vehicle/2473057
613,Dodge,Journey,2018,GT,"74,270 miles","$21,990",['$426/mo'],None,www.carvana.com/vehicle/2362564
614,Dodge,Grand,2017,SXT,"75,304 miles","$18,990",['$379/mo'],None,www.carvana.com/vehicle/2480494
615,Dodge,Dart,2013,Rallye,"100,669 miles","$12,990",['$310/mo'],None,www.carvana.com/vehicle/2378085
616,Dodge,Grand,2019,GT,"74,262 miles","$22,590",['$443/mo'],None,www.carvana.com/vehicle/2414460
617,Dodge,Charger,2012,SE,"83,250 miles","$15,990",['$348/mo'],None,www.carvana.com/vehicle/2480401
618,Kia,Optima,2013,EX,"92,000 miles","$15,990",['$338/mo'],None,www.carvana.com/vehicle/2368925
619,Dodge,Grand,2019,GT,"70,318 miles","$21,990",['$431/mo'],None,www.carvana.com/vehicle/2470101
620,Dodge,Dart,2014,SXT,"94,340 miles","$13,990",['$325/mo'],None,www.carvana.com/vehicle/2473355
621,Dodge,Journey,2015,Crossroad,"92,711 miles","$17,990",['$374/mo'],None,www.carvana.com/vehicle/2470088
622,Kia,Sportage,2012,SX,"94,191 miles","$16,990",['$367/mo'],None,www.carvana.com/vehicle/2473285
623,Kia,Sorento,2017,LX,"41,752 miles","$22,990",['$448/mo'],None,www.carvana.com/vehicle/2443341
624,Dodge,Avenger,2013,SE,"67,906 miles","$14,990",['$324/mo'],None,www.carvana.com/vehicle/2437022
625,Dodge,Grand,2018,GT,"101,121 miles","$18,590",['$385/mo'],None,www.carvana.com/vehicle/2470243
626,Dodge,Challenger,2019,R/T,"33,121 miles","$35,590",['$669/mo'],None,www.carvana.com/vehicle/2470203
627,Dodge,Dart,2014,SXT,"95,560 miles","$13,590",['$291/mo'],None,www.carvana.com/vehicle/2161364
628,Dodge,Journey,2017,SXT,"85,893 miles","$17,990",['$374/mo'],None,www.carvana.com/vehicle/2369179
629,Dodge,Charger,2013,SXT,"99,266 miles","$16,990",['$359/mo'],None,www.carvana.com/vehicle/2446655
630,Kia,Soul,2013,+,"56,311 miles","$16,990",['$346/mo'],None,www.carvana.com/vehicle/2404127
631,Kia,Forte,2017,LX,"49,159 miles","$17,990",['$355/mo'],None,www.carvana.com/vehicle/2437316
632,Dodge,Grand,2015,SE,"73,000 miles","$17,990",['$360/mo'],None,www.carvana.com/vehicle/2362010
633,Dodge,Dart,2013,Limited,"72,973 miles","$14,590",['$309/mo'],None,www.carvana.com/vehicle/2342647
634,Dodge,Charger,2016,SE,"46,614 miles","$24,990",['$499/mo'],None,www.carvana.com/vehicle/2437293
635,Kia,Optima,2018,LX,"66,993 miles","$19,990",['$393/mo'],None,www.carvana.com/vehicle/2413831
636,Kia,Carnival,2022,LX w/Seat Pkg,"7,835 miles","$46,590",['$802/mo'],None,www.carvana.com/vehicle/2479965
637,Kia,Sorento,2018,L,"74,515 miles","$21,990",['$441/mo'],None,www.carvana.com/vehicle/2479981
638,Kia,Sorento,2013,EX,"93,228 miles","$16,990",['$358/mo'],None,www.carvana.com/vehicle/2469623
639,Dodge,Dart,2015,SE,"60,529 miles","$15,590",['$319/mo'],None,www.carvana.com/vehicle/2410639
640,Kia,Sorento,2011,LX,"100,431 miles","$13,990",['$311/mo'],None,www.carvana.com/vehicle/2469548
641,Kia,Rio,2014,LX,"67,846 miles","$13,990",['$296/mo'],None,www.carvana.com/vehicle/2436523
642,Dodge,Grand,2019,GT,"71,751 miles","$21,990",['$435/mo'],None,www.carvana.com/vehicle/2469773
643,Kia,Forte,2011,LX,"89,414 miles","$12,590",['$305/mo'],None,www.carvana.com/vehicle/2479014
644,Kia,Spectra,2009,EX,"59,754 miles","$11,990",['$282/mo'],None,www.carvana.com/vehicle/2476008
645,Dodge,Dart,2016,SXT,"84,109 miles","$14,990",['$319/mo'],None,www.carvana.com/vehicle/2442988
646,Kia,Soul,2015,base,"86,431 miles","$14,990",['$318/mo'],None,www.carvana.com/vehicle/2479154
647,Kia,Forte5,2016,LX,"73,386 miles","$16,590",['$334/mo'],None,www.carvana.com/vehicle/2468825
648,Kia,Sorento,2021,LX,"36,276 miles","$31,990",['$602/mo'],None,www.carvana.com/vehicle/2468821
649,Dodge,Grand,2014,SXT,"100,008 miles","$15,990",['$339/mo'],None,www.carvana.com/vehicle/2442898
650,Dodge,Grand,2014,AVP,"66,831 miles","$17,990",['$361/mo'],None,www.carvana.com/vehicle/2468840
651,Dodge,Journey,2013,Crew,"92,560 miles","$14,990",['$332/mo'],None,www.carvana.com/vehicle/2368886
652,Dodge,Grand,2014,R/T,"94,327 miles","$17,590",['$370/mo'],None,www.carvana.com/vehicle/2446099
653,Kia,Sorento,2021,LX,"33,354 miles","$31,990",['$601/mo'],None,www.carvana.com/vehicle/2468801
654,Kia,Forte,2019,LXS,"43,136 miles","$20,590",['$398/mo'],None,www.carvana.com/vehicle/2376886
655,Kia,Forte,2017,LX,"36,476 miles","$17,990",['$358/mo'],None,www.carvana.com/vehicle/2476089
656,Kia,Sedona,2016,LX,"94,137 miles","$17,990",['$374/mo'],None,www.carvana.com/vehicle/2468766
657,Dodge,Grand,2012,Crew,"57,641 miles","$17,990",['$369/mo'],None,www.carvana.com/vehicle/2413301
658,Kia,Forte,2015,LX,"84,393 miles","$14,990",['$319/mo'],None,www.carvana.com/vehicle/2468998
659,Kia,Optima,2012,SX,"44,990 miles","$17,990",['$358/mo'],None,www.carvana.com/vehicle/2368836
660,Kia,Forte,2016,LX,"8,734 miles","$19,990",['$399/mo'],None,www.carvana.com/vehicle/2468956
661,Dodge,Journey,2019,GT,"62,262 miles","$22,990",['$449/mo'],None,www.carvana.com/vehicle/2443028
662,Dodge,Grand,2017,SXT,"97,252 miles","$17,990",['$368/mo'],None,www.carvana.com/vehicle/2468960
663,Dodge,Journey,2017,SE,"91,423 miles","$16,990",['$363/mo'],None,www.carvana.com/vehicle/2479452
664,Dodge,Journey,2018,SE,"52,370 miles","$20,990",['$419/mo'],None,www.carvana.com/vehicle/2469113
665,Kia,Optima,2016,EX,"77,177 miles","$19,990",['$401/mo'],None,www.carvana.com/vehicle/2469127
666,Kia,Sorento,2017,LX,"71,779 miles","$21,990",['$426/mo'],None,www.carvana.com/vehicle/2228816
667,Kia,Sorento,2016,LX,"46,150 miles","$21,990",['$433/mo'],None,www.carvana.com/vehicle/2469050
668,Kia,Forte,2017,LX,"77,655 miles","$15,990",['$319/mo'],None,www.carvana.com/vehicle/2469031
669,Dodge,Grand,2016,R/T,"71,623 miles","$19,990",['$403/mo'],None,www.carvana.com/vehicle/2478717
670,Kia,Optima,2015,LX,"53,451 miles","$17,990",['$355/mo'],None,www.carvana.com/vehicle/2409443
671,Dodge,Dart,2015,SXT,"99,573 miles","$13,990",['$307/mo'],None,www.carvana.com/vehicle/2475648
672,Kia,Forte,2018,LX,"99,055 miles","$15,590",['$327/mo'],None,www.carvana.com/vehicle/2436352
673,Kia,Rio,2015,LX,"68,686 miles","$14,990",['$316/mo'],None,www.carvana.com/vehicle/2475618
674,Kia,Optima,2013,SX,"71,103 miles","$18,990",['$389/mo'],None,www.carvana.com/vehicle/2314733
675,Kia,Sorento,2021,LX,"36,544 miles","$31,990",['$602/mo'],None,www.carvana.com/vehicle/2468483
676,Kia,Forte,2014,EX,"98,146 miles","$14,990",['$328/mo'],None,www.carvana.com/vehicle/2478738
677,Kia,Rio,2017,LX,"45,649 miles","$16,990",['$343/mo'],None,www.carvana.com/vehicle/2448824
678,Dodge,Charger,2021,GT,"12,461 miles","$37,990",['$730/mo'],None,www.carvana.com/vehicle/2449144
679,Dodge,Challenger,2016,R/T,"85,549 miles","$27,990",['$564/mo'],None,www.carvana.com/vehicle/2474986
680,Dodge,Charger,2016,SRT 392,"58,461 miles","$43,990",['$780/mo'],None,www.carvana.com/vehicle/2468678
681,Dodge,Charger,2017,R/T,"87,670 miles","$28,990",['$587/mo'],None,www.carvana.com/vehicle/2455523
682,Dodge,Challenger,2015,R/T Plus,"54,650 miles","$31,590",['$614/mo'],None,www.carvana.com/vehicle/2449218
683,Dodge,Challenger,2017,SXT,"46,022 miles","$26,990",['$523/mo'],None,www.carvana.com/vehicle/2482415
684,Dodge,Challenger,2017,R/T Scat Pack,"53,555 miles","$38,990",['$749/mo'],None,www.carvana.com/vehicle/2448301
685,Dodge,Charger,2020,R/T,"29,544 miles","$38,990",['$747/mo'],None,www.carvana.com/vehicle/2445254
686,Kia,Sedona,2016,SX,"58,838 miles","$25,990",['$516/mo'],None,www.carvana.com/vehicle/2445228
687,Dodge,Challenger,2014,SRT8,"34,225 miles","$36,590",['$715/mo'],None,www.carvana.com/vehicle/2474439
688,Dodge,Challenger,2016,SRT 392,"43,536 miles","$41,990",['$752/mo'],None,www.carvana.com/vehicle/2474430
689,Dodge,Charger,2017,R/T,"69,076 miles","$30,590",['$593/mo'],None,www.carvana.com/vehicle/2448773
690,Dodge,Durango,2020,GT,"67,597 miles","$34,990",['$675/mo'],None,www.carvana.com/vehicle/2482040
691,Kia,Sorento,2020,S,"55,411 miles","$26,990",['$528/mo'],None,www.carvana.com/vehicle/2474769
692,Kia,Stinger,2019,GT2,"32,978 miles","$41,990",['$754/mo'],None,www.carvana.com/vehicle/2481091
693,Dodge,Challenger,2020,R/T,"45,208 miles","$33,990",['$662/mo'],None,www.carvana.com/vehicle/2481262
694,Kia,Sedona,2019,EX,"56,933 miles","$31,590",['$614/mo'],None,www.carvana.com/vehicle/2481208
695,Kia,Sportage,2020,LX,"30,153 miles","$25,990",['$504/mo'],None,www.carvana.com/vehicle/2454512
696,Dodge,Durango,2019,SXT Plus,"36,568 miles","$33,990",['$654/mo'],None,www.carvana.com/vehicle/2478188
697,Dodge,Charger,2020,Scat Pack Widebody,"14,426 miles","$54,590",['$962/mo'],None,www.carvana.com/vehicle/2478106
698,Dodge,Charger,2017,R/T,"56,472 miles","$31,990",['$618/mo'],None,www.carvana.com/vehicle/2370916
699,Dodge,Charger,2019,SXT,"50,813 miles","$28,990",['$565/mo'],None,www.carvana.com/vehicle/2445116
700,Kia,Sportage,2022,EX,"7,603 miles","$37,990",['$730/mo'],None,www.carvana.com/vehicle/2451412
701,Dodge,Challenger,2015,SRT 392,"8,189 miles","$43,590",['$772/mo'],None,www.carvana.com/vehicle/2481449
702,Dodge,Challenger,2018,R/T,"66,798 miles","$31,990",['$623/mo'],None,www.carvana.com/vehicle/2421668
703,Dodge,Challenger,2014,SRT8,"10,045 miles","$38,990",['$752/mo'],None,www.carvana.com/vehicle/2451678
704,Dodge,Challenger,2016,R/T Scat Pack,"21,865 miles","$41,990",['$763/mo'],None,www.carvana.com/vehicle/2450862
705,Dodge,Charger,2016,R/T,"63,530 miles","$28,590",['$549/mo'],None,www.carvana.com/vehicle/2272620
706,Dodge,Challenger,2016,SXT,"44,855 miles","$25,990",['$518/mo'],None,www.carvana.com/vehicle/2484171
707,Kia,Sedona,2020,EX,"12,856 miles","$37,990",['$730/mo'],None,www.carvana.com/vehicle/2033959
708,Kia,Forte,2021,EX,"17,718 miles","$26,590",['$503/mo'],None,www.carvana.com/vehicle/2487515
709,Dodge,Challenger,2015,SXT Plus,"35,757 miles","$27,990",['$549/mo'],None,www.carvana.com/vehicle/2477271
710,Dodge,Charger,2020,SXT,"56,121 miles","$28,990",['$562/mo'],None,www.carvana.com/vehicle/2457815
711,Dodge,Durango,2020,GT Plus,"61,013 miles","$37,990",['$731/mo'],None,www.carvana.com/vehicle/2285462
712,Kia,Sorento,2018,LX,"29,004 miles","$26,990",['$526/mo'],None,www.carvana.com/vehicle/2483710
